repository_name,date,views,unique_visitors/cloners
embedded-banking,2024-12-26,69,12
embedded-banking,2024-12-27,1,1
embedded-banking,2024-11-01,23,2
embedded-banking,2024-09-27,9,1
embedded-banking,2024-08-01,169,11
embedded-banking,2024-11-02,15,1
embedded-banking,2024-09-28,4,1
embedded-banking,2024-05-17,19,2
embedded-banking,2024-05-30,17,4
embedded-banking,2024-08-02,107,9
embedded-banking,2024-08-03,11,1
embedded-banking,2024-05-18,1,1
embedded-banking,2024-05-31,12,4
embedded-banking,2024-11-03,1,1
embedded-banking,2024-08-04,32,1
embedded-banking,2024-11-04,102,7
embedded-banking,2024-11-05,26,7
embedded-banking,2024-08-05,138,12
embedded-banking,2024-08-06,61,8
embedded-banking,2024-11-06,39,6
embedded-banking,2024-08-20,26,6
embedded-banking,2024-08-07,72,8
embedded-banking,2024-11-07,11,2
embedded-banking,2024-11-20,33,7
embedded-banking,2024-08-21,17,4
embedded-banking,2024-08-08,187,12
embedded-banking,2024-04-10,2,1
embedded-banking,2024-11-08,4,2
embedded-banking,2024-11-21,58,13
embedded-banking,2024-08-22,39,7
embedded-banking,2024-04-11,7,3
embedded-banking,2024-08-09,60,5
embedded-banking,2024-11-22,67,13
embedded-banking,2024-04-12,2,1
embedded-banking,2024-08-23,74,7
embedded-banking,2024-08-24,1,1
embedded-banking,2024-11-24,1,1
embedded-banking,2024-11-25,44,7
embedded-banking,2024-08-25,2,1
embedded-banking,2024-08-26,123,15
embedded-banking,2024-04-15,4,1
embedded-banking,2024-11-26,5,3
embedded-banking,2024-11-27,40,12
embedded-banking,2024-10-01,11,8
embedded-banking,2024-04-16,1,1
embedded-banking,2024-07-01,14,3
embedded-banking,2024-08-27,103,9
embedded-banking,2024-07-02,17,1
embedded-banking,2024-04-17,1,1
embedded-banking,2024-04-30,30,6
embedded-banking,2024-08-28,27,7
embedded-banking,2024-10-02,47,13
embedded-banking,2024-11-28,1,1
embedded-banking,2024-10-03,4,1
embedded-banking,2024-07-03,45,8
embedded-banking,2024-04-18,39,7
embedded-banking,2024-08-29,115,8
embedded-banking,2024-07-04,1,1
embedded-banking,2024-04-19,84,4
embedded-banking,2024-10-04,23,4
embedded-banking,2024-07-05,8,4
embedded-banking,2024-10-05,1,1
embedded-banking,2024-10-06,1,1
embedded-banking,2024-10-07,34,4
embedded-banking,2024-10-20,1,1
embedded-banking,2024-10-08,110,13
embedded-banking,2024-07-21,16,1
embedded-banking,2024-07-08,75,16
embedded-banking,2024-10-21,20,7
embedded-banking,2024-07-09,69,7
embedded-banking,2024-03-11,47,6
embedded-banking,2024-07-22,14,5
embedded-banking,2024-10-09,16,4
embedded-banking,2024-10-22,17,8
embedded-banking,2024-10-23,51,10
embedded-banking,2024-07-23,39,5
embedded-banking,2024-03-12,32,7
embedded-banking,2024-10-24,13,5
embedded-banking,2024-03-13,39,12
embedded-banking,2024-07-24,106,6
embedded-banking,2025-02-02,3,3
embedded-banking,2024-10-25,7,4
embedded-banking,2024-07-25,64,11
embedded-banking,2024-03-14,17,6
embedded-banking,2025-02-03,196,15
embedded-banking,2024-03-15,162,7
embedded-banking,2024-07-26,115,8
embedded-banking,2025-02-04,53,9
embedded-banking,2024-07-27,27,6
embedded-banking,2024-03-16,2,2
embedded-banking,2024-06-02,1,1
embedded-banking,2024-07-28,1,1
embedded-banking,2024-10-28,55,10
embedded-banking,2025-02-05,58,12
embedded-banking,2025-02-06,42,10
embedded-banking,2024-10-29,110,3
embedded-banking,2024-03-18,16,4
